article_id,article_url,article_title,image_number,reference,id,note
LO10016101:2013_67:17,http://lbc.archives.world/document/LO10016101/2013_67/448,Una guaritrice processata dal Tribunale del Sant’Uffizio di Venezia nel Seicento per eresia ed esorcismi,449,"ASve: S. Ufficio, Processi,b. 90.",IT:ASVe:0975.,
LO10016101:2013_67:17,http://lbc.archives.world/document/LO10016101/2013_67/448,Una guaritrice processata dal Tribunale del Sant’Uffizio di Venezia nel Seicento per eresia ed esorcismi,459,"Asve: M. Barbaro, Arbori dè Patritii Veneti, vi.27, ff. 217-227; vi.28, ff. 231-279",IT:ASVe:4966.001.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,108,"Biblioteca Nazionale Marciana (BNM), Ms. It. X, 358 (=7323), c. lOlr",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,108,"Archivio di Stato Venezia (ASVE), Corporazioni religiose soppresse, S.
Anna, busta (b.) 34, c.n.n.",IT:ASVe:3056.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,110,"Archivio Storico del Patriarcato, Venezia (ASPVE), Parrocchia S. Pietro in Castello, Registri Battezzati, filza (f.) 7 (1600-1612), c. 158w",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,110,"ASPVE, Parrocchia S. Nicolò dei Tolentini, Fondo Santa Croce, Registri dei morti, f. 2 (1612-1620), c. 1 Or, 20 marzo 1618",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,111,"ASPVE, S. Pietro, Registri Battesimi, f. 7, c. 1 lOv",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,111,"ASVE, Notarile (N), Testamenti (T), Notaio Antonio Brinis, b. 157, n. 579, cc. 1-2, 18 settembre 1582.",IT:ASVe:3525.001.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,111,"ASPVE, Parrocchia S. Felice, Parrocchia S. Sofia, Registri dei Morti, f. 1, c.n.n. ma 19 settembre 1582",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,111,"ASPVE, S. Pietro, Registri Battesimi, f. 7, c. 29Gv",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,112,"ASPVE, S. Nicolò, Registri Battesimi, f. 1 (1576-1639), c.n.n. ma ad vocem",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,112,"ASPVE, S. Pietro, Registri Battesimi, f. 6 (1593-1600), c. 170",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,112,"AS VE, Provveditori alla Sanità, Necrologi, b. 831 (1603)",IT:ASVe:0720.072.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,112,"ASPVE, S. Pietro, Registri Morti, b. 1, f. 2 (1607-1632)",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASPVE, 5. Pietro, Repertorio dei Morti, b. 1",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASVE, Provveditori alla Sanità, Necrologi, dove ugualmente le annate non
sono sempre esaustive, bb. 828 (1599, dalla c. 126r), 829 (1601-1602), 830 (1602), 831
(1603), 832 (1604), 833 (1605), 834 (1606), 835 (1607), 836 (1608), 837 (1608-1609),
838 (1609), 839 (1609), 840 (1610), 841 (1610)",IT:ASVe:0720.072.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASVE, Provveditori alla Sanità, b. 569, Anagrafi, 1633, Sestiere di Santa Croce, Cittadini,",IT:ASVe:0720.050.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASPVE, S. Pietro, Registo Battesimi, f. 7, c. 2981",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASPVE, S. Pietro, Morti, b. 1, f. 1, c.2r, f. 2, c. 2v",,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,114,"Archivio Storico della Parrocchia di San Giovanni in Bragora, Venezia, Parrocchia di Sant’Antonin, Registri dei Battesimi,, £ 1 (1540-1603), c. 47r",,
